user_id,session_id,touchpoint_order,channel,timestamp,category_id,converted,journey_length,data_source
U00001,S00001_1,1,Referral,2025-01-09 12:00:00,237,0,3,SYNTHETIC
U00001,S00001_2,2,Direct,2025-01-10 20:00:00,237,0,3,SYNTHETIC
U00001,S00001_3,3,Direct,2025-01-12 01:00:00,237,1,3,SYNTHETIC
U00002,S00002_1,1,Organic Search,2025-02-13 12:00:00,434,0,2,SYNTHETIC
U00002,S00002_2,2,Organic Search,2025-02-15 19:00:00,434,1,2,SYNTHETIC
U00003,S00003_1,1,Organic Search,2025-01-16 17:00:00,1052,0,5,SYNTHETIC
U00003,S00003_2,2,Email,2025-01-16 21:00:00,1052,0,5,SYNTHETIC
U00003,S00003_3,3,Display Ads,2025-01-19 21:00:00,1052,0,5,SYNTHETIC
U00003,S00003_4,4,Organic Search,2025-01-20 23:00:00,1052,0,5,SYNTHETIC
U00003,S00003_5,5,Direct,2025-01-23 21:00:00,1052,0,5,SYNTHETIC
U00004,S00004_1,1,Email,2025-02-07 01:00:00,337,0,2,SYNTHETIC
U00004,S00004_2,2,Paid Search,2025-02-07 22:00:00,337,0,2,SYNTHETIC
U00005,S00005_1,1,Social Media,2025-01-19 04:00:00,415,0,3,SYNTHETIC
U00005,S00005_2,2,Social Media,2025-01-21 00:00:00,415,0,3,SYNTHETIC
U00005,S00005_3,3,Social Media,2025-01-21 14:00:00,415,1,3,SYNTHETIC
U00006,S00006_1,1,Organic Search,2025-01-24 10:00:00,1676,0,4,SYNTHETIC
U00006,S00006_2,2,Organic Search,2025-01-24 16:00:00,1676,0,4,SYNTHETIC
U00006,S00006_3,3,Paid Search,2025-01-27 03:00:00,1676,0,4,SYNTHETIC
U00006,S00006_4,4,Paid Search,2025-01-30 00:00:00,1676,1,4,SYNTHETIC
U00007,S00007_1,1,Email,2025-01-07 14:00:00,691,0,4,SYNTHETIC
U00007,S00007_2,2,Paid Search,2025-01-09 13:00:00,691,0,4,SYNTHETIC
U00007,S00007_3,3,Social Media,2025-01-10 14:00:00,691,0,4,SYNTHETIC
U00007,S00007_4,4,Email,2025-01-10 23:00:00,691,1,4,SYNTHETIC
U00008,S00008_1,1,Paid Search,2025-02-19 11:00:00,712,0,4,SYNTHETIC
U00008,S00008_2,2,Paid Search,2025-02-20 17:00:00,712,0,4,SYNTHETIC
U00008,S00008_3,3,Organic Search,2025-02-21 06:00:00,712,0,4,SYNTHETIC
U00008,S00008_4,4,Direct,2025-02-23 07:00:00,712,1,4,SYNTHETIC
U00009,S00009_1,1,Referral,2025-02-23 21:00:00,349,0,5,SYNTHETIC
U00009,S00009_2,2,Social Media,2025-02-25 21:00:00,349,0,5,SYNTHETIC
U00009,S00009_3,3,Organic Search,2025-02-27 19:00:00,349,0,5,SYNTHETIC
U00009,S00009_4,4,Email,2025-02-28 22:00:00,349,0,5,SYNTHETIC
U00009,S00009_5,5,Email,2025-03-02 09:00:00,349,0,5,SYNTHETIC
U00010,S00010_1,1,Referral,2025-02-11 22:00:00,463,0,3,SYNTHETIC
U00010,S00010_2,2,Organic Search,2025-02-14 19:00:00,463,0,3,SYNTHETIC
U00010,S00010_3,3,Direct,2025-02-16 03:00:00,463,1,3,SYNTHETIC
U00011,S00011_1,1,Email,2025-01-19 05:00:00,1529,0,4,SYNTHETIC
U00011,S00011_2,2,Social Media,2025-01-20 23:00:00,1529,0,4,SYNTHETIC
U00011,S00011_3,3,Social Media,2025-01-21 07:00:00,1529,0,4,SYNTHETIC
U00011,S00011_4,4,Social Media,2025-01-22 13:00:00,1529,0,4,SYNTHETIC
U00012,S00012_1,1,Direct,2025-01-22 11:00:00,971,0,6,SYNTHETIC
U00012,S00012_2,2,Direct,2025-01-22 20:00:00,971,0,6,SYNTHETIC
